Species ,Type strain ,16s rDNA ,gyrB gene,rpoD gene,rpoB gene,Genome
Pseudomonas zeshuii,KACC 15471,JN411093.1,FQYS00000000.1,FQYS00000000.1,FQYS00000000.1,FQYS00000000.1
Pseudomonas zhaodongensis,DSM 27559,JQ762275.1,KP151495.1,KP151499.1,RFFM00000000.1,RFFM00000000.1.1
Azotobacter beijerinckii,ICMP 8673,FOFJ00000000.1,FOFJ00000000.1,FOFJ00000000.1,FOFJ00000000.1,FOFJ00000000.1
Pseudomonas abietaniphila,ATCC 700689,AJ011504.1,FN554166.1,FN554447.1,AJ717416.1,FNCO00000000.1
Pseudomonas abyssi,MT5,NTMR00000000.1,NTMR00000000.1,NTMR00000000.1,NTMR00000000.1,NTMR00000000.1
Pseudomonas aeruginosa,ATCC 10145,HE978271.1,AB039386.1,AB039607.1,AJ717442.1,CP012001.1
Pseudomonas aestusnigri,GXO14,HG004394.1,HG004396.1,FN994281.2,NBYK00000000.1,NBYK00000000.1
Pseudomonas agarici,ATCC 25941,Z76652.1,AB039457.1,AB039563.1,AJ717477.1,FOAR00000000.1
Pseudomonas alcaligenes,ATCC 14909,D84006.1,AB039388.1,AB039606.1,AJ279966.1,BATI00000000.1
Pseudomonas alcaliphila,LMG 23134,AB030583.1,FN554167.1,FN554448.1,AJ717463.1,FNAE00000000.1
Pseudomonas alkylphenolica,JCM 16553,CP009048.1,HE577792.1,HE577794.1,HE577798.1,CP009048.1
Pseudomonas amygdali,LMG 13184,Z76654.1,AB039462.1,AB039509.1,AJ717462.1/FN554726.1,JYHB00000000.1
Pseudomonas anguilliseptica,LMG 21629,X99540.1,FN554168.1,FN554449.1,AJ717417.1,FNSC00000000.1
Pseudomonas antarctica,LMG 22709,AJ537601.1,FN554169.1,FN554450.1,FN554727.1,LT629704.1
Pseudomonas argentinensis,LMG 22563,AY691188.2,FN554170.1,FN554451.1,FN554728.1,FORC00000000.1
Pseudomonas arsenicoxydans,CECT 7543 ,FN645213.1,FN645139.1,FN645160/HE800488.1,HE800503.1,LT629705.1
Pseudomonas asiatica,RYU5,MH517510.1,LC435051.1,LC435053.1,LC435052.1,SAMD00127555-00127557
Pseudomonas asplenii,LMG 2137,AB021397.1,AB039455.1,AB039593.1,AJ717432.1,LT629777.1
